"DateTime","Players","Average Players","Twitch Viewers"
"2014-05-08 00:00:00",6050,,
"2014-05-09 00:00:00",8546,,
"2014-05-10 00:00:00",8720,,
"2014-05-11 00:00:00",7811,,
"2014-05-12 00:00:00",6586,,
"2014-05-13 00:00:00",6458,,
"2014-05-14 00:00:00",6210,,
"2014-05-15 00:00:00",6175,,
"2014-05-16 00:00:00",6908,,
"2014-05-17 00:00:00",7347,,
"2014-05-18 00:00:00",7095,,
"2014-05-19 00:00:00",6144,,
"2014-05-20 00:00:00",5679,,
"2014-05-21 00:00:00",5595,,
"2014-05-22 00:00:00",5577,,
"2014-05-23 00:00:00",6123,,
"2014-05-24 00:00:00",6446,,
"2014-05-25 00:00:00",6394,,
"2014-05-26 00:00:00",6223,,
"2014-05-27 00:00:00",5316,,
"2014-05-28 00:00:00",5592,,
"2014-05-29 00:00:00",5575,,
"2014-05-30 00:00:00",6133,,
"2014-05-31 00:00:00",6571,,
"2014-06-01 00:00:00",6713,,
"2014-06-02 00:00:00",5401,,
"2014-06-03 00:00:00",5336,,
"2014-06-04 00:00:00",5316,,
"2014-06-05 00:00:00",5227,,
"2014-06-06 00:00:00",5915,,
"2014-06-07 00:00:00",6729,,
"2014-06-08 00:00:00",6604,,
"2014-06-09 00:00:00",5158,,
"2014-06-10 00:00:00",5215,,
"2014-06-11 00:00:00",5413,,
"2014-06-12 00:00:00",5055,,
"2014-06-13 00:00:00",6047,,
"2014-06-14 00:00:00",6641,,
"2014-06-15 00:00:00",6572,,
"2014-06-16 00:00:00",5436,,
"2014-06-17 00:00:00",5329,,
"2014-06-18 00:00:00",5408,,
"2014-06-19 00:00:00",5274,,
"2014-06-20 00:00:00",5502,,
"2014-06-21 00:00:00",6100,,
"2014-06-22 00:00:00",5873,,
"2014-06-23 00:00:00",5339,,
"2014-06-24 00:00:00",5089,,
"2014-06-25 00:00:00",4881,,
"2014-06-26 00:00:00",4721,,
"2014-06-27 00:00:00",5194,,
"2014-06-28 00:00:00",5595,,
"2014-06-29 00:00:00",5414,,
"2014-06-30 00:00:00",4719,,
"2014-07-01 00:00:00",6922,,
"2014-07-02 00:00:00",4788,,
"2014-07-03 00:00:00",5115,,
"2014-07-04 00:00:00",5466,,
"2014-07-05 00:00:00",5968,,
"2014-07-06 00:00:00",5872,,
"2014-07-07 00:00:00",5098,,
"2014-07-08 00:00:00",5048,,
"2014-07-09 00:00:00",4758,,
"2014-07-10 00:00:00",4741,,
"2014-07-11 00:00:00",6736,,
"2014-07-12 00:00:00",7015,,
"2014-07-13 00:00:00",6668,,
"2014-07-14 00:00:00",6533,,
"2014-07-15 00:00:00",6576,,
"2014-07-16 00:00:00",6521,,
"2014-07-17 00:00:00",6051,,
"2014-07-18 00:00:00",6354,,
"2014-07-19 00:00:00",6729,,
"2014-07-20 00:00:00",6609,,
"2014-07-21 00:00:00",5868,,
"2014-07-22 00:00:00",5650,,
"2014-07-23 00:00:00",5536,,
"2014-07-24 00:00:00",5572,,
"2014-07-25 00:00:00",5793,,
"2014-07-26 00:00:00",6592,,
"2014-07-27 00:00:00",6505,,
"2014-07-28 00:00:00",5573,,
"2014-07-29 00:00:00",5487,,
"2014-07-30 00:00:00",5294,,
"2014-07-31 00:00:00",5200,,
"2014-08-01 00:00:00",24493,,
"2014-08-02 00:00:00",6320,,
"2014-08-03 00:00:00",6346,,
"2014-08-04 00:00:00",5757,,
"2014-08-05 00:00:00",5505,,
"2014-08-06 00:00:00",5425,,
"2014-08-07 00:00:00",5334,,
"2014-08-08 00:00:00",6149,,
"2014-08-09 00:00:00",6730,,
